sentence1,sentence2,score
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 9 Oktober hingga 15 Oktober 2025,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 9 Oktober hingga 15 Oktober 2025,1.0
Penjelasan Berkenaan Status Kenderaan Jenis Sport Utility Vehicle (SUV) Bagi Tujuan Pendaftaran E-hailing,Penjelasan Berkenaan Status Kenderaan Jenis Sport Utility Vehicle (SUV) Bagi Tujuan Pendaftaran E-hailing,1.0
Waspada Taktik Penipuan Tebus Mata Ganjaran Kad Kredit Melalui Pautan Pancing Data,Waspada Taktik Penipuan Tebus Mata Ganjaran Kad Kredit Melalui Pautan Pancing Data,1.0
Makluman: Pembubaran Dewan Undangan Negeri Sabah ke-16,Makluman: Pembubaran Dewan Undangan Negeri Sabah ke-16,1.0
Waspada Fenomena Air Pasang Ekstrem (Banjir Pantai) Melibatkan Beberapa Kawasan di Selangor dari 7 hingga 10 Oktober 2025,Waspada Fenomena Air Pasang Ekstrem (Banjir Pantai) Melibatkan Beberapa Kawasan di Selangor dari 7 hingga 10 Oktober 2025,1.0
Makluman: Semak Butiran Maklumat di MyKad dan Lesen Memandu Bagi Memastikan Kelayakan BUDI95 Tidak Terjejas,Makluman: Semak Butiran Maklumat di MyKad dan Lesen Memandu Bagi Memastikan Kelayakan BUDI95 Tidak Terjejas,1.0
Waspada Taktik Penipuan yang Menyamar Sebagai Anggota PDRM di Platform WhatsApp,Waspada Taktik Penipuan yang Menyamar Sebagai Anggota PDRM di Platform WhatsApp,1.0
Waspada Taktik Penipuan Melalui Pautan Palsu dan Fail APK di Platform WhatsApp,Waspada Taktik Penipuan Melalui Pautan Palsu dan Fail APK di Platform WhatsApp,1.0
Kerajaan Tidak Hadkan Pembelian RON95 Kepada Sekali Sehari,Kerajaan Tidak Hadkan Pembelian RON95 Kepada Sekali Sehari,1.0
Makluman: Semua Warganegara Malaysia Yang Mempunyai Lesen Memandu Aktif Layak Membeli RON95 Sehingga 300 Liter Sebulan,Makluman: Semua Warganegara Malaysia Yang Mempunyai Lesen Memandu Aktif Layak Membeli RON95 Sehingga 300 Liter Sebulan,1.0
"Makluman: Pengujian Siren Sistem Amaran Awal Tsunami Malaysia (SAATNM) di Lutong, Miri, Sarawak dan Masjid Kg. Tinosa 2, Sandakan, Sabah Pada 24 September 2025","Makluman: Pengujian Siren Sistem Amaran Awal Tsunami Malaysia (SAATNM) di Lutong, Miri, Sarawak dan Masjid Kg. Tinosa 2, Sandakan, Sabah Pada 24 September 2025",1.0
Makluman: JPN Tawar Penukaran Cip MyKad Rosak Secara Percuma Demi Kelancaran Akses Subsidi BUDI95 Mulai 23 September 2025,Makluman: JPN Tawar Penukaran Cip MyKad Rosak Secara Percuma Demi Kelancaran Akses Subsidi BUDI95 Mulai 23 September 2025,1.0
Makluman: Pelaksanaan Sistem NIISe Secara Percubaan dan Berperingkat di Lokasi Terpilih Mulai 22 September 2025,Makluman: Pelaksanaan Sistem NIISe Secara Percubaan dan Berperingkat di Lokasi Terpilih Mulai 22 September 2025,1.0
Waspada Taktik Penipuan Yang Menyamar Sebagai Pekerja TNB,Waspada Taktik Penipuan Yang Menyamar Sebagai Pekerja TNB,1.0
Waspada Angin Baratan Kencang Dijangka Bertiup di Rantau Negara Bermula Pada 22 hingga 25 September 2025,Waspada Angin Baratan Kencang Dijangka Bertiup di Rantau Negara Bermula Pada 22 hingga 25 September 2025,1.0
Tiada Subsidi Panel Solar Diperkenalkan Kerajaan,Tiada Subsidi Panel Solar Diperkenalkan Kerajaan,1.0
Penjelasan Berhubung Insiden Kakitangan SESB Dihanyutkan Arus Deras di Keningau,Penjelasan Berhubung Insiden Kakitangan SESB Dihanyutkan Arus Deras di Keningau,1.0
"Waspada Penumpuan Angin Dijangka Berlanjutan di Barat Sabah, Wilayah Persekutuan Labuan serta Tengah dan Utara Sarawak sehingga 16 September 2025","Waspada Penumpuan Angin Dijangka Berlanjutan di Barat Sabah, Wilayah Persekutuan Labuan serta Tengah dan Utara Sarawak sehingga 16 September 2025",1.0
"Makluman: Pengukuhan Kawalan Sekuriti di Pelabuhan Bintulu, Sarawak","Makluman: Pengukuhan Kawalan Sekuriti di Pelabuhan Bintulu, Sarawak",1.0
"Makluman: Langkah Proaktif untuk Jamin Keselamatan Fasiliti LNG di Bintulu, Sarawak","Makluman: Langkah Proaktif untuk Jamin Keselamatan Fasiliti LNG di Bintulu, Sarawak",1.0
Sebaran Maklumat Berkaitan Produk Alkohol Termasuk Barangan Bantuan SARA Adalah Tidak Benar,Sebaran Maklumat Berkaitan Produk Alkohol Termasuk Barangan Bantuan SARA Adalah Tidak Benar,1.0
Makluman: Penebusan Baucar Perlindungan Tenang 3.0 (PTV3.0),Makluman: Penebusan Baucar Perlindungan Tenang 3.0 (PTV3.0),1.0
Waspada Taktik Penipuan yang Menjana Video AI Dengan Menggunakan Wajah dan Suara MB Perak,Waspada Taktik Penipuan yang Menjana Video AI Dengan Menggunakan Wajah dan Suara MB Perak,1.0
Penjelasan Masalah Teknikal Sistem Terminal MyKasih Pada Hari Pertama Penyaluran Penghargaan SARA,Penjelasan Masalah Teknikal Sistem Terminal MyKasih Pada Hari Pertama Penyaluran Penghargaan SARA,1.0
Waspada Penumpuan Angin Barat Bertiup di Rantau Negara Dijangka Bertambah Kencang Pada 29 Ogos hingga 1 September 2025,Waspada Penumpuan Angin Barat Bertiup di Rantau Negara Dijangka Bertambah Kencang Pada 29 Ogos hingga 1 September 2025,1.0
Makluman: Laluan Ke Arah Gua Musang Ditutup Sepenuhnya Berikutan Insiden Lubang Benam (Sinkhole) di Jalan Lojing-Gua Musang (FT185),Makluman: Laluan Ke Arah Gua Musang Ditutup Sepenuhnya Berikutan Insiden Lubang Benam (Sinkhole) di Jalan Lojing-Gua Musang (FT185),1.0
Waspada Taktik Penipuan Menyalahgunakan Nama & Logo KTMB dengan Tawaran Cenderahati Sempena Hari Kebangsaan,Waspada Taktik Penipuan Menyalahgunakan Nama & Logo KTMB dengan Tawaran Cenderahati Sempena Hari Kebangsaan,1.0
Waspada Sebaran Mesej Mengandungi Pautan Palsu Berkaitan Bantuan Subsidi RON 95,Waspada Sebaran Mesej Mengandungi Pautan Palsu Berkaitan Bantuan Subsidi RON 95,1.0
Waspada Taktik Penipuan yang Menyamar Sebagai Pegawai Kumpulan Wang Simpanan Pekerja(KWSP) & Menawarkan Perkhidmatan Pengeluaran,Waspada Taktik Penipuan yang Menyamar Sebagai Pegawai Kumpulan Wang Simpanan Pekerja(KWSP) & Menawarkan Perkhidmatan Pengeluaran,1.0
