title,date,body,label,link
Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 9 Oktober hingga 15 Oktober 2025,8/10/2025,"Menurut kenyataan Media Kementerian Kewangan (MOF): Seiring dengan perubahan harga pasaran minyak dunia, Kerajaan memutuskan untuk mengurangkan harga runcit RON97 sebanyak 3 sen kepada RM3.18 seliter bagi tempoh 9 Oktober 2025 hingga 15 Oktober 2025.",Real,https://sebenarnya.my/makluman-harga-runcit-produk-petroleum-bagi-tempoh-9-oktober-hingga-15-oktober-2025
Penjelasan Berkenaan Status Kenderaan Jenis Sport Utility Vehicle (SUV) Bagi Tujuan Pendaftaran E-hailing,7/10/2025,Menurut Siaran Media Kementerian Pengangkutan Malaysia (MOT): MOT ingin memberikan penjelasan berhubung laporan media yang telah menimbulkan kekeliruan mengenai status kenderaan jenis Sport Utility Vehicle (SUV) bagi tujuan pendaftaran e-hailing.,Real,https://sebenarnya.my/penjelasan-berkenaan-status-kenderaan-jenis-sport-utility-vehicle-suv-bagi-tujuan-pendaftaran-e-hailing
Waspada Taktik Penipuan Tebus Mata Ganjaran Kad Kredit Melalui Pautan Pancing Data,6/10/2025,"Menurut Jabatan Siasatan Jenayah Komersil, PDRM (JSJK): Jika anda terima SMS tuntut ganjaran atau kata mata ganjaran akan tamat, jangan klik pautan. Penipu (scammer) guna pautan palsu untuk curi kata laluan perbankan anda di laman web palsu.",Real,https://sebenarnya.my/waspada-taktik-penipuan-tebus-mata-ganjaran-kad-kredit-melalui-pautan-pancing-data
Makluman: Pembubaran Dewan Undangan Negeri Sabah ke-16,6/10/2025,"Menurut kenyataan Laman Rasmi Ketua Menteri Sabah: Memandangkan tempoh lima tahun Dewan Undangan Negeri (DUN) Sabah Ke-16 akan berakhir, saya telah menghadap Tuan Yang Terutama Tun Datuk Seri Panglima (Dr) Musa bin Haji Aman, Yang di-Pertua Negeri Sabah pada pagi 6 Oktober 2025 untuk menasihatkan pembubaran DUN Sabah.",Real,https://sebenarnya.my/makluman-pembubaran-dewan-undangan-negeri-sabah-ke-16
Waspada Fenomena Air Pasang Ekstrem (Banjir Pantai) Melibatkan Beberapa Kawasan di Selangor dari 7 hingga 10 Oktober 2025,30/9/2025,Menurut Jabatan Ukur dan Pemetaan Malaysia (JUPEM): Fenomena Air Fenomena Air Pasang Ekstrem (Banjir Pantai) pada bulan Oktober 2025 akan berlaku di beberapa lokasi di Selangor .,Real,https://sebenarnya.my/waspada-fenomena-air-pasang-ekstrem-banjir-pantai-melibatkan-beberapa-kawasan-di-selangor-dari-7-hingga-10-oktober-2025
Makluman: Semak Butiran Maklumat di MyKad dan Lesen Memandu Bagi Memastikan Kelayakan BUDI95 Tidak Terjejas,29/9/2025,"Menurut kenyataan Jabatan Pendaftaran Negara (JPN), Malaysia: Menjelang pelaksanaan penuh sistem subsidi bersasar BUDI MADANI RON95 (BUDI95) esok (30 September 2025), Kerajaan menyarankan orang ramai memastikan butiran pada MyKad dan lesen memandu adalah tepat bagi memastikan kelayakan tidak terjejas.",Real,https://sebenarnya.my/makluman-semak-butiran-maklumat-di-mykad-dan-lesen-memandu-bagi-memastikan-kelayakan-budi95-tidak-terjejas
Waspada Taktik Penipuan yang Menyamar Sebagai Anggota PDRM di Platform WhatsApp,29/9/2025,"Menurut Jabatan Siasatan Jenayah Komersil, PDRM (JSJK): PDRM tidak pernah menjalankan siasatan atau pemantauan melalui WhatsApp.Orang ramai dinasihatkan supaya sentiasa berhati-hati.",Real,https://sebenarnya.my/waspada-taktik-penipuan-yang-menyamar-sebagai-anggota-pdrm-di-platform-whatsapp
Waspada Taktik Penipuan Melalui Pautan Palsu dan Fail APK di Platform WhatsApp,24/9/2025,Menurut Polis Selayang: Aplikasi APK yang dihantar melalui WhatsApp mungkin mengintip data peribadi anda & membaca SMS tanpa disedari.,Real,https://sebenarnya.my/waspada-taktik-penipuan-melalui-pautan-palsu-dan-fail-apk-di-platform-whatsapp
Kerajaan Tidak Hadkan Pembelian RON95 Kepada Sekali Sehari,23/9/2025,Menurut kenyataan Kementerian Kewangan (MOF): MOF merujuk kepada beberapa artikel media yang telah melaporkan secara tidak tepat bahawa Kerajaan akan mengehadkan pembelian RON95 kepada sekali sehari. MOF ingin menjelaskan bahawa Kerajaan sama sekali tidak mempunyai rancangan untuk berbuat demikian.,Real,https://sebenarnya.my/kerajaan-tidak-hadkan-pembelian-ron95-kepada-sekali-sehari
Makluman: Semua Warganegara Malaysia Yang Mempunyai Lesen Memandu Aktif Layak Membeli RON95 Sehingga 300 Liter Sebulan,23/9/2025,"Menurut kenyataan Kementerian Kewangan (MOF): Peralihan kepada BUDI MADANI RON95 (BUDI95), sistem subsidi petrol RON95 yang disasarkan khusus untuk rakyat Malaysia, telah direka dan diteliti agar proses ini tidak menyulitkan rakyat, malah memberi manfaat kepada penerima.",Real,https://sebenarnya.my/makluman-semua-warganegara-malaysia-yang-mempunyai-lesen-memandu-aktif-layak-membeli-ron95-sehingga-300-liter-sebulan
